timestamps,open,high,low,close,volume,amount
2025-06-09,990.22412109375,995.1506092583954,985.2976329291045,990.22412109375,21674308,21462422589.615234
2025-06-10,1009.9301541707162,1034.5625969553678,1005.0036656137859,1029.6361083984375,44877640,46207638603.706055
2025-06-11,1049.342041015625,1054.2685294710975,1039.4890641046802,1049.342041015625,37178498,39012960973.21533
2025-06-12,1043.8999128569826,1048.8473058089114,1034.005126953125,1034.005126953125,25221606,26079269913.9917
2025-06-13,1029.0576882964199,1029.0576882964199,1014.2155100998368,1019.1629028320312,28393455,28937556019.23065
2025-06-16,1019.162969226372,1019.162969226372,1004.3207900628811,1014.215576171875,28580673,28986963734.07495
2025-06-17,1029.0577340011962,1038.9525199050538,1024.1103410492674,1034.005126953125,26517379,27419105839.35913
2025-06-18,1029.0577236374406,1043.89990234375,1019.1629378332345,1043.89990234375,37931721,39596919847.63037
2025-06-19,1034.0051375679348,1034.0051375679348,1019.1629585597826,1024.1103515625,24002557,24581267087.668945
2025-06-20,1019.1629378332345,1043.89990234375,1014.2155449311315,1043.89990234375,57831332,60370121827.208984
2025-06-23,1014.21558155733,1019.1629746380975,1004.320795395795,1009.2681884765625,32143872,32441787464.0625
2025-06-24,1034.0051217215403,1038.9525146484375,1029.0577287946428,1038.9525146484375,28163537,29260577587.54431
2025-06-25,1048.8472797714662,1058.7420654296875,1043.8998869423556,1058.7420654296875,38783736,41061972757.71973
2025-06-26,1063.6893310546875,1068.6367232921511,1053.7945465797602,1063.6893310546875,36056692,38353118593.5249
2025-06-27,1058.7420552571614,1068.6368408203125,1048.8472696940105,1068.6368408203125,32549027,34783089385.05505
2025-06-30,1063.6894686716907,1068.6368615492336,1048.8472900390625,1048.8472900390625,32413717,33997039235.54309
2025-07-01,1068.6368357574884,1083.479014031898,1063.689442999352,1073.584228515625,44299887,47559660008.224365
2025-07-02,1063.689442999352,1073.584228515625,1058.7420502412153,1073.584228515625,23822731,25575708281.770264
2025-07-03,1093.373794415675,1093.373794415675,1078.5316162109375,1078.5316162109375,36973556,39877149109.745605
2025-07-04,1083.479014031898,1088.4264067900347,1068.6368357574884,1073.584228515625,20363322,21861741339.385254
2025-07-07,1068.6368408203125,1073.584233601888,1058.7420552571614,1068.6368408203125,18829372,20121760608.71045
2025-07-08,1058.7420552571614,1068.6368408203125,1053.794662475586,1068.6368408203125,27461252,29346105582.25049
2025-07-09,1058.7420452712872,1078.5316162109375,1053.7946525363748,1078.5316162109375,23618216,25472992674.499023
2025-07-10,1083.479120427912,1088.426513671875,1078.5317271839488,1088.426513671875,22350503,24326880059.102783
2025-07-11,1083.479120427912,1088.426513671875,1078.5317271839488,1088.426513671875,28249780,30747809557.39746
